year,from,to,count
2018,Colon_(punctuation),Enumeration,2428
2018,Punctuation,Asterisk,830
2018,Ditto_mark,Iteration_mark,1143
2018,Character_(computing),Syllabary,745
2018,Visual_programming_language,Programming_language,618
2018,History_of_programming_languages,Programming_language,654
2018,Bell_character,ASCII,252
2018,Unicode,Malayalam_script,241
2018,Monogram,Interrobang,379
2018,Typography,Uncial_script,88
2018,Viral_license,Command-line_interface,556
2018,Programming_language,Smalltalk,262
2018,Vertical_bar,Multiplication_sign,21
2018,Colon_(punctuation),Rhetoric,177
2018,BlackBerry,QWERTY,141
2018,Punctuation,Numero_sign,209
2018,Unicode,Plus_and_minus_signs,242
2018,Command-line_interface,Data_stream,130
2018,Logogram,Ampersand,66
2018,Old_English_Latin_alphabet,Ampersand,335
2018,Hyphen,American_Psychological_Association,162
2018,Typography,Design_knowledge,91
2018,Glyph,Microprinting,106
2018,ASCII,DEC_Radix-50,200
2018,Multiplication_sign,List_of_mathematical_symbols,903
2018,Command-line_interface,Run_command,405
2018,Tilde,Index_(typography),85
2018,Terminal_punctuation,Full_stop,35
2018,Bootstrap_(front-end_framework),Typography,1383
2018,Word_divider,Text_segmentation,45
2018,Character_(computing),Function_type,97
2018,Document,Book,237
2018,Copyright_symbol,Interpunct,568
2018,TypeScript,Programming_language,515
2018,Procedural_programming,Programming_language,250
2018,Less-than_sign,ASCII,257
2018,Code_page_850,ASCII,423
2018,Punctuation,Obelus,384
2018,Ampersand,Ideogram,256
2018,Typography,Hardware_interface_design,94
2018,Zero_consonant,Syllable,11
2018,Sonorant,Syllable,167
2018,Unicode,Wubi_method,271
2018,Currency_symbol,Hryvnia_sign,702
2018,Ditto_mark,Ibid.,959
2018,Hyphen,Web_typography,162
2018,UTF-8,Unicode,16848
2018,Glyph,Serif,112
2018,Colon_(punctuation),Pilcrow,81
2018,Punctuation,Ellipsis,2597
2018,Ellipse_(disambiguation),Ellipsis,399
2018,Prime_(symbol),Ellipsis,104
2018,Hyphen,Brontë_family,182
2018,Ellipsis,Modern_Language_Association,42
