year,from,to,count
2022,Alexandria,Ancient_Greek,137
2022,Vorenus_and_Pullo,Caesar's_civil_war,117
2022,Abdul_Hamid_II,Ephesus,59
2022,İzmir_Province,Ephesus,87
2022,Ptolemy_I_Soter,Pella,289
2022,Quintus_Tullius_Cicero,Second_Triumvirate,42
2022,Mediterranean_Sea,"Split,_Croatia",249
2022,Roman_Egypt,Indo-Roman_trade_relations,75
2022,Pharaoh,Narmer,3226
2022,Library_of_Alexandria,Alexandria_University,79
2022,Roman_Republic,Second_Macedonian_War,105
2022,Artaxerxes_I,Alexander_the_Great,18
2022,Alauddin_Khalji,Alexander_the_Great,29
2022,Still_waters_run_deep,Alexander_the_Great,12
2022,List_of_ancient_great_powers,Alexander_the_Great,64
2022,Kingdom_of_Armenia_(antiquity),Tiridates_I_of_Armenia,110
2022,Appian_Way,Villa_of_the_Quintilii,96
2022,Berenice_III,Ptolemy_IX_Soter,522
2022,Roman_Republic,Spartacus,1077
2022,Duat,Egyptian_language,120
2022,Luxor,Egyptian_language,48
2022,Mediterranean_Sea,Balearic_Islands,56
2022,The_Crowned_Clown,Eunuch,86
2022,Empress_Dowager_Cixi,Eunuch,31
2022,Wei_Zhongxian,Eunuch,157
2022,Caesar's_civil_war,Juba_I_of_Numidia,218
2022,Perseus,"Tarsus,_Mersin",46
2022,Ancient_Rome,Tiber,830
2022,The_dogs_of_war_(phrase),Assassination_of_Julius_Caesar,46
2022,The_Assassination_of_Julius_Caesar_(Sullivan),Assassination_of_Julius_Caesar,97
2022,Greek_language,Apulia,72
2022,Marseille,Ancient_Rome,40
2022,Salad,Ancient_Rome,71
2022,Polenta,Ancient_Rome,50
2022,Magna_Graecia,Ancient_Rome,144
2022,Aristocracy_(class),Ancient_Rome,73
2022,Roman_Republic,Bacchanalia,25
2022,Cleopatra,Victorian_era,479
2022,Cleopatra_(1963_film),Dermatitis,34
2022,Cleopatra_(1963_film),Invasion_of_the_Body_Snatchers,46
2022,Greek_Canadians,Greek_language,10
2022,Hephaestus,Greek_language,71
2022,Regional_units_of_Greece,Greek_language,36
2022,George_Stroumboulopoulos,Greek_language,11
2022,Griko_language,Greek_language,42
2022,List_of_assassinated_and_executed_heads_of_state_and_government,Caligula,137
2022,Herodias,Caligula,55
2022,Historiography,Historiography_of_the_United_Kingdom,746
2022,Diadem,Reef_knot,138
2022,Julius_Caesar,List_of_Roman_civil_wars_and_revolts,518
2022,Saturn_(mythology),Roman_Empire,42
2022,Foederati,Roman_Empire,50
2022,Antisemitism,Roman_Empire,13
2022,Artaxiad_dynasty,Roman_Empire,10
2022,Roman_Carthage,Roman_Empire,130
2022,Imperialism,Roman_Empire,106
2022,History_of_Bulgaria,Roman_Empire,10
2022,Antakya,Roman_Empire,48
2022,Macedonia_(Roman_province),Roman_Empire,398
2022,List_of_states_by_population_in_1_CE,Roman_Empire,195
2022,Roman_consul,Roman_Empire,612
2022,Roman_Empire,Mark_Antony,1564
2022,Ancient_Rome,Tribune,56
2022,Ancient_Rome,Old_Italic_scripts,47
2022,Ancient_history_of_Cyprus,Hellenistic_period,23
2022,Gaius_Octavius_(father_of_Augustus),Augustus,1956
2022,Gaius_Julius_Hyginus,Augustus,117
2022,Gnaeus_Octavius_(consul_87_BC),Augustus,20
